voivodeship,name,latitude,longitude
dolnośląskie,Boraszyn,51.38889,16.48472
dolnośląskie,Boreczek,50.88222,17.02806
dolnośląskie,Boreczna,50.72778,16.45889
dolnośląskie,Borek,51.50917,16.90306
dolnośląskie,Borek Strzeliński,50.86722,17.06583
dolnośląskie,Borki,51.50972,16.51306
dolnośląskie,Borkowice,51.29361,16.99278
dolnośląskie,Borków,51.67417,16.19417
dolnośląskie,Borowa,51.18917,17.28056
dolnośląskie,Borowe,50.70944,16.86944
dolnośląskie,Borowice,50.79222,15.69444
dolnośląskie,Borowina,51.45556,17.26833
dolnośląskie,Borowna,51.58583,16.79389
dolnośląskie,Borownik,50.46111,16.47389
dolnośląskie,Borszyn Mały,51.67611,16.60083
dolnośląskie,Borszyn Wielki,51.67278,16.63111
dolnośląskie,Borzygniew,50.97306,16.62861
dolnośląskie,Borzynowo,51.50806,17.46889
dolnośląskie,Borzęcin,51.44556,16.91167
dolnośląskie,Borów,50.88389,16.99111
dolnośląskie,Borówek,51.37806,16.85972
dolnośląskie,Borówki,51.36278,15.73139
dolnośląskie,Borówno,50.77917,16.10694
dolnośląskie,Bożanów,50.92139,16.50639
dolnośląskie,Bożejowice,51.24361,15.54833
dolnośląskie,Bożeń,51.39083,16.63361
dolnośląskie,Bożkowice,51.03833,15.31611
dolnośląskie,Bożków,50.51389,16.57667
dolnośląskie,Bożkówek,50.52278,16.59111
dolnośląskie,Bożnowice,50.655,17.10778
dolnośląskie,Bracław,51.54361,17.44194
dolnośląskie,Braszowice,50.55417,16.79806
dolnośląskie,Bratków,51.00111,14.94417
dolnośląskie,Bratoszów,50.74528,16.58917
dolnośląskie,Bratowice,50.98611,17.13333
dolnośląskie,Brennik,51.15056,16.37583
dolnośląskie,Brochocin,50.69833,16.89417
dolnośląskie,Brochocinek,50.79972,16.96028
dolnośląskie,Brochów,51.06167,17.08
dolnośląskie,Brodno,51.22889,16.58833
dolnośląskie,Brodowce,51.36972,17.42639
dolnośląskie,Brodowice,51.55583,16.35417
dolnośląskie,Brodziszów,50.64528,16.78722
dolnośląskie,Brodów,51.50889,16.28639
dolnośląskie,Broniów,50.79917,15.69583
dolnośląskie,Bronków,51.01889,15.92583
dolnośląskie,Bronowiec,51.37389,15.28972
dolnośląskie,Bronów,50.92861,16.21667
dolnośląskie,Bronówek,50.90722,16.22167
dolnośląskie,Brożec,50.81861,17.13306
dolnośląskie,Brukalice,50.66306,17.01028
dolnośląskie,Brunów,51.13417,15.58417
dolnośląskie,Bryłów,50.80861,17.28972
dolnośląskie,Bryłówek,50.81028,17.27083
dolnośląskie,Brzeg Dolny,51.26028,16.71972
dolnośląskie,Brzeg Głogowski,51.69444,15.91694
dolnośląskie,Brzezia Łąka,51.1225,17.24361
dolnośląskie,Brzezica,50.89361,17.00361
dolnośląskie,Brzezie,51.41278,17.15083
dolnośląskie,Brzezie Karkonoskie,50.79306,15.7625
dolnośląskie,Brzezimierz,50.8925,17.20083
dolnośląskie,Brzezina,51.20361,16.8225
dolnośląskie,Brzezina Sułowska,51.54083,17.14861
dolnośląskie,Brzeziniec,50.99056,15.39
dolnośląskie,Brzezinka,51.28361,17.45139
dolnośląskie,Brzezinka Dolna,51.26611,17.46444
dolnośląskie,Brzezinka Średzka,51.21639,16.82278
dolnośląskie,Brzezinki,51.08833,17.35222
dolnośląskie,Brzeziny,51.53306,17.14139
dolnośląskie,Brzezno Małe,51.35556,16.86694
dolnośląskie,Brzeście,50.92694,16.995
dolnośląskie,Brzeźnica,50.53917,16.73111
dolnośląskie,Brzeźnik,51.24278,15.46861
dolnośląskie,Brzeźno,51.3625,16.87083
dolnośląskie,Brzeżany,51.715,16.4825
dolnośląskie,Brzostowo,51.43361,17.42722
dolnośląskie,Brzostów,51.65806,16.05861
dolnośląskie,Brzostówko,51.43472,17.39944
dolnośląskie,Brzoza,50.90833,17.00222
dolnośląskie,Brzozowie,50.41278,16.22083
dolnośląskie,Brzozy,51.35806,15.89833
dolnośląskie,Brzyków,51.355,17.05639
dolnośląskie,Brzózka,51.46056,16.69194
dolnośląskie,Bródź,51.17417,16.91
dolnośląskie,Bucze,51.61222,16.21611
dolnośląskie,Buczek,51.31333,15.51472
dolnośląskie,Buczki,51.12389,16.56556
dolnośląskie,Buczyna,51.54583,15.90278
dolnośląskie,Buczynka,51.29889,16.26222
dolnośląskie,Budczyce,51.33333,17.18194
dolnośląskie,Budków,51.48139,16.47167
dolnośląskie,Budniki,50.76167,15.80333
dolnośląskie,Budy,51.26806,17.50639
dolnośląskie,Budzicz,51.36778,16.91278
dolnośląskie,Budzieszyce,51.42444,15.59861
dolnośląskie,Budziszów,50.9225,16.91944
dolnośląskie,Budziszów Mały,51.09639,16.46222
dolnośląskie,Budziszów Wielki,51.08889,16.42917
dolnośląskie,Budziwojowice,51.22306,17.18722
dolnośląskie,Budziwojów,51.23389,15.94722
dolnośląskie,Budzyń,50.57667,16.74528
dolnośląskie,Budzów,50.58306,16.695
dolnośląskie,Budzów-Kolonia,50.56,16.70861
dolnośląskie,Bukowa,50.415,16.47333
dolnośląskie,Bukowice,51.30694,16.77639
dolnośląskie,Bukowice-Tartak,51.40306,17.36917
dolnośląskie,Bukowiec,50.82639,15.82167
dolnośląskie,Bukowina,51.21139,17.14028
dolnośląskie,Bukowina Kłodzka,50.47972,16.27667
dolnośląskie,Bukowina Sycowska,51.38028,17.58472
dolnośląskie,Bukowinka,51.35639,17.35111
dolnośląskie,Bukowna,51.30639,16.05028
dolnośląskie,Bukowo,50.76667,15.86306
dolnośląskie,Bukowy Las,51.30972,15.51611
dolnośląskie,Bukołowo,51.45194,17.02306
dolnośląskie,Bukwica,51.62222,15.99333
dolnośląskie,Buków,50.98417,16.585
dolnośląskie,Bukówek,51.12722,16.52778
dolnośląskie,Bukówka,50.70722,15.96417
dolnośląskie,Burkatów,50.79528,16.46667
dolnośląskie,Buszkowice,51.47306,16.44194
dolnośląskie,Buszkowice Małe,51.45833,16.47167
dolnośląskie,Buszów,51.14556,15.10722
dolnośląskie,Bychowo,51.48056,16.85167
dolnośląskie,Byczeń,50.52222,16.90472
dolnośląskie,Byków,51.19194,17.23556
dolnośląskie,Bylica,51.73083,16.55
dolnośląskie,Bystra,50.40722,16.44194
dolnośląskie,Bystre,51.18028,17.37222
dolnośląskie,Bystrzyca,50.96194,17.39167
dolnośląskie,Bystrzyca Dolna,50.80944,16.475
dolnośląskie,Bystrzyca Górna,50.78139,16.45389
dolnośląskie,Bystrzyca Kłodzka,50.29806,16.64972
dolnośląskie,Bystrzyca-Kolonia,50.28167,16.63278
dolnośląskie,Byszów,50.72917,16.74139
dolnośląskie,Bytkowice,50.60611,16.455
dolnośląskie,Bytków,51.53472,16.25806
dolnośląskie,Bytnik,51.63917,16.15389
dolnośląskie,Bądzów,51.56972,16.05417
dolnośląskie,Bąki,50.97917,16.88583
dolnośląskie,Bąków,51.21222,17.15722
dolnośląskie,Będkowice,50.86417,16.75306
dolnośląskie,Będkowo,51.28778,17.04389
dolnośląskie,Będzin,51.445,17.49528
dolnośląskie,Błażejów,50.66694,16.04917
dolnośląskie,Błażkowa,50.73389,15.98306
dolnośląskie,Błogocice,50.55917,16.44972
dolnośląskie,Błonie,51.15972,16.75306
dolnośląskie,Błotnica,50.47361,16.93278
dolnośląskie,Błotnica Górna,50.44639,16.88972
dolnośląskie,Błotnik,51.29944,17.61111
dolnośląskie,Ceber,51.71306,16.00028
dolnośląskie,Cegielnia,51.29556,17.19056
dolnośląskie,Cegielnia Czerna,51.22333,15.32278
dolnośląskie,Celina,51.00556,17.49417
dolnośląskie,Celów,50.95833,16.18056
dolnośląskie,Centrum,50.4375,16.24083
dolnośląskie,Cerekwica,51.31417,17.12694
dolnośląskie,Cesarzowice,51.06139,16.92417
dolnośląskie,Chałupki,50.48889,16.99556
dolnośląskie,Chałupniki,50.98056,15.3
dolnośląskie,Chałupska,51.01944,15.25083
dolnośląskie,Chałupy,51.57361,17.40806
dolnośląskie,Chełm,51.12833,16.46083
dolnośląskie,Chełmek Wołowski,51.45083,16.38194
dolnośląskie,Chełmiec,51.04278,16.11194
dolnośląskie,Chełmsko Śląskie,50.66639,16.06889
dolnośląskie,Chełstów,51.34139,17.49444
dolnośląskie,Chełstów Mały,51.34583,17.49833
dolnośląskie,Chełstówek,51.35111,17.48889
dolnośląskie,Chmieleń,50.97972,15.49
dolnośląskie,Chmielno,51.14111,15.61
dolnośląskie,Chmielów,51.07111,16.74139
dolnośląskie,Chobienia,51.54417,16.44917
dolnośląskie,Chocianowiec,51.39083,15.94722
dolnośląskie,Chocianów,51.41889,15.90083
dolnośląskie,Chocieborowice,51.53472,16.64722
dolnośląskie,Chociemyśl,51.73472,16.00389
dolnośląskie,Chocieszów,50.45583,16.48139
dolnośląskie,Chociwel,50.79639,17.09444
dolnośląskie,Chodlewko,51.37889,16.87722
dolnośląskie,Chodlewo,51.52972,16.84944
dolnośląskie,Chodlewo-Leśnictwo,51.52417,16.83639
dolnośląskie,Choiniec,51.12167,15.73583
dolnośląskie,Chojnów,51.27306,15.93639
dolnośląskie,Chomiąża,51.21167,16.52639
dolnośląskie,Chorągwice,51.58139,16.47028
dolnośląskie,Chołów,51.52611,17.44861
dolnośląskie,Chościszowice,51.2875,15.58917
dolnośląskie,Chromiec,50.89417,15.5125
dolnośląskie,Chroślice,51.085,16.08333
dolnośląskie,Chrośnica,50.97694,15.79083
dolnośląskie,Chrzanów,50.99278,16.93167
dolnośląskie,Chrząstawa Mała,51.08222,17.2825
dolnośląskie,Chrząstawa Wielka,51.09556,17.30222
dolnośląskie,Chróstnik,51.35667,16.16306
dolnośląskie,Chróścina,51.74333,16.53278
dolnośląskie,Chudzów,50.5525,16.58472
dolnośląskie,Chwalibożyce,50.86861,17.31556
dolnośląskie,Chwalimierz,51.14278,16.59917
dolnośląskie,Chwaliszewo,51.65611,16.23028
dolnośląskie,Chwaliszów,50.85806,16.22361
dolnośląskie,Chwalisław,50.42222,16.82361
dolnośląskie,Chwalęcin,50.75389,16.87389
dolnośląskie,Chwastnica,50.92583,17.11972
dolnośląskie,Chwałkowice,51.44889,16.61444
dolnośląskie,Chwałków,50.89528,16.68222
dolnośląskie,Chwałowice,51.04472,17.38306
dolnośląskie,Chwałów,50.93444,16.61833
dolnośląskie,Cichobórz,51.22667,16.395
dolnośląskie,Cichoszów,51.26806,17.29667
dolnośląskie,Ciechanowice,50.86722,15.98056
dolnośląskie,Ciechanów,51.57722,16.43111
dolnośląskie,Ciechów,51.13222,16.56889
dolnośląskie,Ciechłowice,51.49306,16.44639
dolnośląskie,Cielętniki,51.29722,17.20917
dolnośląskie,Cienin,51.19861,17.08222
dolnośląskie,Cienkowice,50.66528,16.94556
dolnośląskie,Cieplice,51.34083,16.82944
dolnośląskie,Cieplice Śląskie-Zdrój,50.865,15.67889
dolnośląskie,Ciepłowody,50.67556,16.9075
dolnośląskie,Ciernie,50.87306,16.34556
dolnośląskie,Ciernie Dolne,50.87778,16.36306
dolnośląskie,Ciernie Górne,50.87083,16.34
dolnośląskie,Cierpice,50.67,17.165
dolnośląskie,Cieszkowice,51.59889,16.67472
dolnośląskie,Cieszków,51.63,17.35639
dolnośląskie,Cieszyce,50.93972,16.895
dolnośląskie,Cieszyny,51.54056,16.55667
dolnośląskie,Cieszów,50.86583,16.26417
dolnośląskie,Cieśle,51.22389,17.47139
dolnośląskie,Ciszyca,50.80556,15.81333
dolnośląskie,Cisów,50.85667,16.26333
dolnośląskie,Czachowo,51.29528,17.13
dolnośląskie,Czadrów,50.76167,16.05694
dolnośląskie,Czadrówek,50.77306,16.04417
dolnośląskie,Czaple,51.13222,15.74389
dolnośląskie,Czaplice,51.46361,16.75194
dolnośląskie,Czarna Góra,50.23917,16.77528
dolnośląskie,Czarne,50.87667,15.75083
dolnośląskie,Czarnków,51.12278,16.20528
dolnośląskie,Czarnoborsko,51.61528,16.69778
dolnośląskie,Czarnogoździce,51.48944,17.30417
dolnośląskie,Czarny Bór,50.77167,16.12972
dolnośląskie,Czarny Las,51.54944,16.94806
dolnośląskie,Czarnów,50.79861,15.91111
dolnośląskie,Czartowice,51.2725,17.26472
dolnośląskie,Czatkowice,51.51306,17.37889
dolnośląskie,Czatków,50.28778,16.80167
dolnośląskie,Czechy,50.93806,16.40806
dolnośląskie,Czeladź Mała,51.52111,16.59222
dolnośląskie,Czeladź Wielka,51.56972,16.635
dolnośląskie,Czermna,50.45194,16.24389
dolnośląskie,Czerna,51.22306,15.35556
dolnośląskie,Czerniawa-Zdrój,50.91667,15.30167
dolnośląskie,Czernica,50.97778,15.71528
dolnośląskie,Czernica Dolna,50.98444,15.69917
dolnośląskie,Czernica Górna,50.98139,15.72667
dolnośląskie,Czerniczów,51.31722,15.56778
dolnośląskie,Czerniec,51.38111,16.29611
dolnośląskie,Czerniewice,51.17361,16.12833
dolnośląskie,Czernikowice,51.31139,15.89278
dolnośląskie,Czernina,51.71972,16.61694
dolnośląskie,Czernina Dolna,51.72444,16.6025
dolnośląskie,Czernina Górna,51.71639,16.62417
dolnośląskie,Czernów,50.80333,15.93444
dolnośląskie,Czerwieniec,50.72306,16.94806
dolnośląskie,Czerwieńczyce,50.53361,16.605
dolnośląskie,Czerwona Woda,51.25056,15.21222
dolnośląskie,Czerwoniak,50.81111,15.70306
dolnośląskie,Czerwony Kościół,51.18861,16.06222
dolnośląskie,Czerńczyce,50.61806,16.94667
dolnośląskie,Czeski Młyn,50.94278,16.38361
dolnośląskie,Czestków,50.8375,15.76139
dolnośląskie,Czeszków,51.19528,15.97444
dolnośląskie,Czeszyce,51.49917,17.4525
dolnośląskie,Czeszów,51.38222,17.24611
dolnośląskie,Czesławice,50.65083,16.98389
dolnośląskie,Czortkowice,51.16417,15.96694
dolnośląskie,Cztery Domki,51.35694,16.63472
dolnośląskie,Czwórka,51.39694,17.53028
dolnośląskie,Czystopole,51.2275,16.85278
dolnośląskie,Czyżki,51.32778,15.79389
dolnośląskie,Częstocice,50.8225,17.26778
dolnośląskie,Częstocin,50.89639,15.98222
dolnośląskie,Cło,51.41472,17.67444
dolnośląskie,Dalborowice,51.19556,17.71306
dolnośląskie,Daleszów Dolny,50.775,16.01833
dolnośląskie,Daleszów Górny,50.77556,16.01167
dolnośląskie,Dalków,51.66167,15.88861
dolnośląskie,Damianowice,50.91917,16.85361
dolnośląskie,Damianowo,51.05306,16.36389
dolnośląskie,Damnik,51.26333,17.41639
dolnośląskie,Damówka,51.50056,16.14583
dolnośląskie,Daniel,51.33194,15.43417
dolnośląskie,Danielowice,50.90556,17.10028
dolnośląskie,Dankowice,50.72083,17.01333
dolnośląskie,Danówka,51.48333,16.10472
dolnośląskie,Darnków,50.44556,16.3125
dolnośląskie,Daszów,51.55611,16.60167
dolnośląskie,Dańczów,50.42667,16.28389
dolnośląskie,Debry,50.53472,16.56083
dolnośląskie,Dobkowice,50.92472,16.87306
dolnośląskie,Dobków,50.98778,15.95167
dolnośląskie,Doboszowice,50.52222,16.95667
dolnośląskie,Dobra,51.23694,17.30583
dolnośląskie,Dobrocin,50.73306,16.705
dolnośląskie,Dobrocinek,50.73889,16.75778
dolnośląskie,Dobrogoszcz,50.76167,17.01833
dolnośląskie,Dobromierz,50.91111,16.23861
dolnośląskie,Dobromil,51.58,15.98972
dolnośląskie,Dobromyśl,50.69361,16.12417
dolnośląskie,Dobroszyce,51.26528,17.34083
dolnośląskie,Dobroszów,50.68972,17.0825
dolnośląskie,Dobroszów Oleśnicki,51.21639,17.22861
dolnośląskie,Dobrosławice,51.42583,16.97944
dolnośląskie,Dobrzany,51.0925,16.36111
dolnośląskie,Dobrzejowice,51.71194,15.885
dolnośląskie,Dobrzejów,51.25167,16.18528
dolnośląskie,Dobrzenice,50.70306,16.91889
dolnośląskie,Dobrzeń,51.2425,17.28694
dolnośląskie,Dobrzykowice,51.09389,17.19278
dolnośląskie,Dobrzyków,51.36694,16.00111
dolnośląskie,Dobrzyszów,51.21083,15.07806
dolnośląskie,Dochowa,51.61861,16.6775
dolnośląskie,Dolina,50.40972,16.40333
dolnośląskie,Dolina Strążycka,50.37972,16.39278
dolnośląskie,Dolinka,50.92944,16.11861
dolnośląskie,Dolnik,50.13972,16.70139
dolnośląskie,Dolomity,50.81472,15.92194
dolnośląskie,Dolsko,50.52861,16.55861
dolnośląskie,Dom wśród Róż,50.23583,16.75361
dolnośląskie,Domachów,50.69778,16.45167
dolnośląskie,Domanice,50.93694,16.5925
dolnośląskie,Domaniowice,51.67361,15.91667
dolnośląskie,Domaniów,50.89417,17.13083
dolnośląskie,Domaniówek,50.87778,17.14889
dolnośląskie,Domanowice,51.40778,17.05306
dolnośląskie,Domanów,50.86917,16.06389
dolnośląskie,Domaszczyn,51.18833,17.16639
dolnośląskie,Domaszczyn Mały,51.18806,17.15167
dolnośląskie,Domaszków,50.21528,16.68083
dolnośląskie,Domaszów,50.81611,16.77472
dolnośląskie,Domasław,51.01028,16.955
dolnośląskie,Domasławice,51.40611,17.53028
dolnośląskie,Domek Myśliwski,50.75528,15.70306
dolnośląskie,Domki,51.17417,17.58056
dolnośląskie,Dorotka,50.72556,16.56139
dolnośląskie,Dorzecze,51.71306,15.93972
dolnośląskie,Doszów,51.22667,17.69861
dolnośląskie,Drewniany Młyn,51.31222,17.48861
dolnośląskie,Droglowice,51.665,16.22806
dolnośląskie,Drogomiłowice,51.07028,16.43028
dolnośląskie,Drogoszowice,51.32444,17.47944
dolnośląskie,Drogosław,50.60083,16.50556
dolnośląskie,Droszków,50.39472,16.78333
dolnośląskie,Droszów,51.3,17.00861
dolnośląskie,Drozdowice Małe,51.51056,16.65972
dolnośląskie,Drozdowice Wielkie,51.52028,16.6575
dolnośląskie,Drołtowice,51.33972,17.58528
dolnośląskie,Droździęcin,51.43361,17.48861
dolnośląskie,Drożyna,51.61278,15.95444
dolnośląskie,Drożów,51.60833,15.97361
dolnośląskie,Drwale,50.87639,15.34278
dolnośląskie,Drzazgi,50.62417,16.48444
dolnośląskie,Drzemlikowice,50.87917,17.24194
dolnośląskie,Drzymałowice,51.05583,16.31056
dolnośląskie,Drągów,51.41194,17.48472
dolnośląskie,Drągówek,51.425,17.50417
dolnośląskie,Duchowo,51.51833,17.31861
dolnośląskie,Dunaj,50.38167,16.54722
dolnośląskie,Dunino,51.15528,16.08694
dolnośląskie,Duninów,51.395,15.89278
dolnośląskie,Dunkowa,51.53778,17.16333
dolnośląskie,Durok,51.01167,17.20472
dolnośląskie,Duszniki-Zdrój,50.40417,16.39056
dolnośląskie,Duża Huta,51.54111,15.76111
dolnośląskie,Duża Wólka,51.56972,16.13444
dolnośląskie,Duży Byczeń,50.52222,16.9075
dolnośląskie,Dworek,51.10444,15.65333
dolnośląskie,Dworki,50.61556,16.42083
dolnośląskie,Dworzysko,50.80528,16.24
dolnośląskie,Dyminy,51.54556,17.36694
dolnośląskie,Dynowice,51.05972,15.86083
dolnośląskie,Dzbanów,50.50389,16.79917
dolnośląskie,Dziadkowo,51.58889,17.29444
dolnośląskie,Dziadowa Kłoda,51.23444,17.7075
dolnośląskie,Dziadów Most,51.22806,17.62
dolnośląskie,Działosza,51.30917,17.64667
dolnośląskie,Działoszyn,50.97861,14.95028
dolnośląskie,Dziczek,51.62556,16.52778
dolnośląskie,Dzierzgów,51.57111,17.35556
dolnośląskie,Dzierzkowa,50.67389,17.13278
dolnośląskie,Dzierzków,50.98667,16.23194
dolnośląskie,Dzierżkowice,51.15639,16.41222
dolnośląskie,Dzierżoniów,50.72917,16.64889
dolnośląskie,Dzierżoniów Dolny,50.73917,16.63
dolnośląskie,Dziesław,51.47194,16.36972
dolnośląskie,Dziesławice,51.35278,17.63167
dolnośląskie,Dziewin,51.36889,16.45972
dolnośląskie,Dziewiętlin,51.45667,17.3175
dolnośląskie,Dziewiętlin-Leśnictwo,51.44889,17.315
dolnośląskie,Dziećmorowice,50.77222,16.35972
dolnośląskie,Dzikowa,50.97306,16.5875
dolnośląskie,Dzikowiec,50.56917,16.5725
dolnośląskie,Dzików,51.61722,15.85417
dolnośląskie,Dziuplina,51.0625,17.3325
dolnośląskie,Dziwigórz,51.02361,16.43806
dolnośląskie,Dziwigórz Pierwszy,51.02889,16.44389
dolnośląskie,Dziwiszów,50.94167,15.79444
dolnośląskie,Dziób,50.43528,16.50333
dolnośląskie,Dzwonów,51.22028,15.95333
dolnośląskie,Dół,50.77056,15.94222
dolnośląskie,Dąbie,51.22472,16.36944
dolnośląskie,Dąbki,51.51417,17.03167
dolnośląskie,Dąbrowa,51.23222,17.36417
dolnośląskie,Dąbrowa Bolesławiecka,51.32583,15.57889
dolnośląskie,Dąbrowa Dolna,51.41639,16.3475
dolnośląskie,Dąbrowa Górna,51.42167,16.30889
dolnośląskie,Dąbrowa Kraszowska,51.38778,17.72306
dolnośląskie,Dąbrowa Środkowa,51.41806,16.335
dolnośląskie,Dąbrowica,50.89472,15.80972
dolnośląskie,Dąbrówka,50.85111,15.67833
